,Brand,Model,Rank,Benchmark,Samples,Brand,Model,Rank,Benchmark,Samples,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
120,Gigabyte,Gigabyte RTX 2070 Super 8GB Gaming,29,118.0,569107,Nvidia,GTX 460,240.0,12.5,30678.0,0.768,192.0,675.0,900.0,56.0,24.0,No,PCIe 2.0 x16,GDDR5,GF104
121,MSI,MSI RTX 2070 Super 8GB Ventus,29,118.0,569107,Nvidia,Quadro K4000M,243.0,12.2,619.0,4.0,256.0,601.0,700.0,80.0,32.0,No,MXM-B (3.0),GDDR5,GK104
122,Gigabyte,Gigabyte RTX 2070 Super 8GB 3X Windforce,29,118.0,569107,Nvidia,GTX 670MX,244.0,12.1,2241.0,3.0,192.0,601.0,700.0,80.0,24.0,No,PCIe 3.0 x16,GDDR5,GK104
123,Gigabyte,Gigabyte RTX 2070 Super 8GB 3X Gaming,29,118.0,569107,Nvidia,GTX 465,247.0,11.9,1411.0,1.024,256.0,608.0,802.0,44.0,32.0,No,PCIe 2.0 x16,GDDR5,GF100
124,MSI,MSI RTX 2070 Super 8GB Gaming X,29,118.0,569107,Nvidia,Quadro K3100M,249.0,11.6,2810.0,4.0,256.0,706.0,800.0,64.0,32.0,No,MXM-B (3.0),GDDR5,GK104
125,EVGA,EVGA RTX 2070 Super 8GB Super Black Gaming,29,118.0,569107,Nvidia,GTX 760M,250.0,11.6,1741.0,2.0,128.0,628.0,1002.0,64.0,16.0,No,PCIe 3.0 x16,GDDR5,GK106
126,Asus,Asus RTX 2070 Super 8GB Dual Evo,29,118.0,569107,Nvidia,GTX 485M,251.0,11.4,60.0,2.0,256.0,575.0,750.0,64.0,32.0,No,MXM-B (3.0),GDDR5,GF104
127,Zotac,Zotac RTX 2070 Super 8GB Mini,29,118.0,569107,Nvidia,GTX 560 SE,252.0,11.4,1766.0,1.024,192.0,736.0,957.0,48.0,24.0,No,PCIe 2.0 x16,GDDR5,GF114
128,EVGA,EVGA RTX 2070 Super 8GB KO Gaming,29,118.0,569107,Nvidia,Quadro K620,256.0,10.8,17040.0,2.0,128.0,1058.0,900.0,24.0,16.0,No,PCIe 2.0 x16,DDR3,GM107
129,Nvidia,RTX 2080S (Super Mobile),30,117.0,2346,Nvidia,MX230,260.0,10.5,6515.0,2.0,64.0,1519.0,1502.0,16.0,16.0,No,PCIe 3.0 x4,GDDR5,GP108
130,Nvidia,RTX 2080 (Mobile),31,114.0,4279,Nvidia,GTX 670M,262.0,10.4,2952.0,1.536,192.0,598.0,750.0,56.0,24.0,No,MXM-B (3.0),GDDR5,GF114
131,AMD,RX 6700-XT,32,112.0,17930,AMD,Radeon HD 6770,264.0,10.3,16498.0,1.024,128.0,850.0,1200.0,40.0,16.0,No,PCIe 2.0 x16,GDDR5,Juniper
132,Nvidia,RTX 3070 (Laptop),33,112.0,35282,Nvidia,GTX 460 SE,265.0,10.3,3139.0,1.024,256.0,650.0,850.0,48.0,32.0,No,PCIe 2.0 x16,GDDR5,GF104
133,AMD,Radeon-VII,34,110.0,13647,AMD,FirePro M6000,270.0,10.1,235.0,2.0,128.0,800.0,1000.0,40.0,16.0,No,MXM-B (3.0),GDDR5,Heathrow
134,AMD,Sapphire Radeon VII 16GB,34,110.0,13647,Nvidia,MX130,273.0,9.94,14793.0,2.0,64.0,1109.0,1253.0,24.0,8.0,No,PCIe 3.0 x4,GDDR5,GM108
135,AMD,Asus Radeon VII 16GB,34,110.0,13647,Nvidia,940MX,276.0,9.76,38717.0,2.0,64.0,1004.0,1001.0,24.0,8.0,No,PCIe 3.0 x8,DDR3,GM108
136,AMD,RX 6800M,35,108.0,750,Nvidia,940MX,276.0,9.76,38717.0,2.0,64.0,795.0,1253.0,32.0,8.0,No,PCIe 3.0 x8,GDDR5,GM107
137,Nvidia,Quadro GP100,36,108.0,127,Nvidia,940MX,276.0,9.76,38717.0,1.024,64.0,954.0,1253.0,24.0,8.0,No,PCIe 3.0 x8,GDDR5,GM108
138,Nvidia,GTX 1080,37,106.0,1087024,Nvidia,GTX 285,277.0,9.76,2859.0,1.024,512.0,648.0,1242.0,80.0,32.0,No,PCIe 2.0 x16,GDDR3,GT200B
139,EVGA,EVGA GTX 1080 8GB Founders Edition,37,106.0,1087024,Nvidia,Quadro 5000,278.0,9.75,2778.0,2.5,320.0,513.0,750.0,44.0,40.0,No,PCIe 2.0 x16,GDDR5,GF100
140,Asus,ASUS GTX 1080 8GB Founders Edition,37,106.0,1087024,Nvidia,GT 755M,279.0,9.65,3574.0,2.0,128.0,980.0,1350.0,32.0,16.0,No,PCIe 3.0 x16,GDDR5,GK107
141,Nvidia,MSI GTX 1080 8GB Founders Edition,37,106.0,1087024,Nvidia,GTX 570M,280.0,9.64,635.0,1.536,192.0,575.0,750.0,56.0,24.0,No,MXM-B (3.0),GDDR5,GF114
142,Nvidia,Zotac GTX 1080 8GB Founders Edition,37,106.0,1087024,Nvidia,840M,282.0,9.54,20101.0,2.0,64.0,1029.0,1001.0,16.0,8.0,No,PCIe 3.0 x8,DDR3,GM108
143,Nvidia,Gigabyte GTX 1080 8GB Founders Edition,37,106.0,1087024,AMD,FirePro M8900,284.0,9.46,199.0,2.0,256.0,680.0,900.0,48.0,32.0,No,MXM-B (3.0),GDDR5,Blackcomb
144,EVGA,EVGA GTX 1080 8GB SC GAMING ACX 3.0,37,106.0,1087024,Nvidia,GTX 275,285.0,9.45,3119.0,0.896,448.0,633.0,1134.0,80.0,28.0,No,PCIe 2.0 x16,GDDR3,GT200B
145,MSI,MSI GTX 1080 8GB GAMING X,37,106.0,1087024,Nvidia,GTX 550 Ti,286.0,9.07,55322.0,1.024,192.0,900.0,1026.0,32.0,24.0,No,PCIe 2.0 x16,GDDR5,GF116
146,Gigabyte,Gigabyte GTX 1080 8GB G1 Gaming,37,106.0,1087024,Nvidia,GTX 280,289.0,8.77,1426.0,1.024,512.0,602.0,1107.0,80.0,32.0,No,PCIe 2.0 x16,GDDR3,GT200
147,EVGA,EVGA GTX 1080 8GB FTW ACX 3.0,37,106.0,1087024,Nvidia,GTX 650,290.0,8.68,71560.0,1.024,128.0,1058.0,1250.0,32.0,16.0,No,PCIe 3.0 x16,GDDR5,GK106
148,Asus,Asus GTX 1080 8GB ROG STRIX,37,106.0,1087024,Nvidia,GTX 650,290.0,8.68,71560.0,1.024,128.0,1058.0,1250.0,32.0,16.0,No,PCIe 3.0 x16,GDDR5,GK107
149,Asus,Asus GTX 1080 8GB ROG STRIX,37,106.0,1087024,Nvidia,930MX,293.0,8.58,6951.0,2.0,64.0,952.0,900.0,24.0,8.0,No,PCIe 3.0 x8,DDR3,GM108
150,Zotac,Zotac GTX 1080 8GB AMP,37,106.0,1087024,AMD,Mobility Radeon HD 5870,295.0,8.49,2962.0,1.024,128.0,700.0,1000.0,40.0,16.0,No,MXM-B (3.0),GDDR5,Broadway
151,Zotac,Zotac GTX 1080 8GB AMP Extreme,37,106.0,1087024,Nvidia,Quadro FX 5800,296.0,8.43,789.0,4.0,512.0,610.0,800.0,80.0,32.0,No,PCIe 2.0 x16,GDDR3,GT200B
152,Gigabyte,Gigabyte GTX 1080 8GB Xtreme,37,106.0,1087024,Nvidia,GT 750M,297.0,8.37,13906.0,2.0,128.0,941.0,1003.0,32.0,16.0,No,PCIe 3.0 x16,GDDR5,GK107
153,Gigabyte,Gigabyte GTX 1080 8GB Xtreme Pack,37,106.0,1087024,Nvidia,GTX 480M,298.0,8.3,34.0,2.0,256.0,425.0,600.0,44.0,32.0,No,MXM-B (3.0),GDDR5,GF100
154,Gigabyte,Gigabyte GTX 1080 8GB Xtreme Water,37,106.0,1087024,Nvidia,Quadro 4000M,300.0,8.23,1126.0,2.0,256.0,475.0,625.0,56.0,32.0,No,MXM-B (3.0),GDDR5,GF104
155,EVGA,EVGA GTX 1080 8GB FTW2,37,106.0,1087024,Nvidia,GT 740,304.0,7.92,30040.0,1.024,128.0,993.0,1253.0,32.0,16.0,No,PCIe 3.0 x16,GDDR5,GK107
156,Gigabyte,Gigabyte GTX 1080 8GB Turbo,37,106.0,1087024,ATI,Radeon HD 4850,305.0,7.91,1024.0,0.512,256.0,625.0,993.0,40.0,16.0,No,PCIe 2.0 x16,GDDR3,RV770
157,Gigabyte,Gigabyte GTX 1080 8GB Windforce,37,106.0,1087024,Nvidia,Quadro K3000M,308.0,7.84,2291.0,2.0,256.0,654.0,700.0,48.0,32.0,No,MXM-B (3.0),GDDR5,GK104
158,Nvidia,RTX 2070,38,106.0,460951,Nvidia,9800 GTX,311.0,7.66,3950.0,0.512,256.0,675.0,1100.0,64.0,16.0,No,PCIe 2.0 x16,GDDR3,G92
159,Gigabyte,Gigabyte RTX 2070 8GB Gaming OC,38,106.0,460951,Nvidia,GTS 450,312.0,7.65,29414.0,1.024,128.0,783.0,902.0,32.0,16.0,No,PCIe 2.0 x16,GDDR5,GF106
160,EVGA,EVGA RTX 2070 8GB XC Gaming Dual HDB,38,106.0,460951,Nvidia,Quadro K2000,313.0,7.6,12465.0,2.0,128.0,954.0,1000.0,32.0,16.0,No,PCIe 2.0 x16,GDDR5,GK107
161,MSI,MSI RTX 2070 8GB Gaming Z,38,106.0,460951,Nvidia,GTX 660M,314.0,7.6,7312.0,1.024,128.0,835.0,1000.0,32.0,16.0,No,MXM-B (3.0),GDDR5,GK107
162,EVGA,EVGA RTX 2070 8GB XC Ultra Gaming,38,106.0,460951,Nvidia,GT 745M,315.0,7.57,1220.0,2.0,128.0,837.0,900.0,32.0,16.0,No,PCIe 3.0 x16,DDR3,GK107
163,Asus,Asus RTX 2070 8GB ROG STRIX,38,106.0,460951,Nvidia,GT 745M,315.0,7.57,1220.0,2.0,128.0,549.0,1000.0,32.0,16.0,No,PCIe 3.0 x16,GDDR5,GK107
164,MSI,MSI RTX 2070 8GB Armor OC,38,106.0,460951,Nvidia,GTX 560M,316.0,7.54,6242.0,1.536,192.0,775.0,625.0,32.0,24.0,No,MXM-B (3.0),GDDR5,GF116
165,Gigabyte,Gigabyte RTX 2070 8GB Windforce,38,106.0,460951,Nvidia,GTX 260,317.0,7.52,12176.0,0.896,448.0,576.0,999.0,64.0,28.0,No,PCIe 2.0 x16,GDDR3,GT200
166,EVGA,EVGA RTX 2070 8GB Black Gaming,38,106.0,460951,Nvidia,Quadro K2100M,318.0,7.44,6446.0,2.0,128.0,667.0,752.0,48.0,16.0,No,MXM-A (3.0),GDDR5,GK106
167,Zotac,Zotac RTX 2070 8GB Mini,38,106.0,460951,Nvidia,GTX 460M,321.0,7.23,3999.0,1.536,192.0,675.0,625.0,32.0,24.0,No,PCIe 2.0 x16,GDDR5,GF106
168,Asus,Asus RTX 2070 8GB Dual,38,106.0,460951,Nvidia,GTS 250,323.0,7.12,14498.0,1.024,256.0,702.0,1000.0,64.0,16.0,No,PCIe 2.0 x16,GDDR3,G92B
169,MSI,MSI RTX 2070 8GB Tri Frozr,38,106.0,460951,Nvidia,GTS 250,323.0,7.12,14498.0,1.024,256.0,675.0,1008.0,64.0,16.0,No,PCIe 2.0 x16,GDDR3,G92B
170,AMD,RX 5700XT 50th Anniversary,39,104.0,4183,ATI,Radeon HD 4770,324.0,7.12,1513.0,0.512,128.0,750.0,800.0,32.0,16.0,No,PCIe 2.0 x16,GDDR5,RV740
171,AMD,RX 6650-XT,40,101.0,771,AMD,FirePro M4000,328.0,6.99,1459.0,1.024,128.0,675.0,1000.0,32.0,16.0,No,MXM-A (3.0),GDDR5,Chelsea
172,AMD,RX Vega-64LC (Liquid Cooled),41,101.0,3866,Nvidia,GT 640,329.0,6.99,34672.0,2.0,128.0,902.0,891.0,32.0,16.0,No,PCIe 3.0 x16,DDR3,GK107
173,AMD,Gigabyte RX Vega 64 8GB LC,41,101.0,3866,AMD,Mobility Radeon HD 5850,331.0,6.93,1222.0,1.024,128.0,500.0,1000.0,40.0,16.0,No,PCIe 2.0 x16,GDDR5,Broadway
174,AMD,Sapphire RX Vega 64 8GB LC,41,101.0,3866,Nvidia,Quadro FX 3800M,332.0,6.9,383.0,1.024,256.0,675.0,1000.0,64.0,16.0,No,MXM-B (3.0),GDDR3,G92
175,AMD,XFX RX Vega 64 8GB LC,41,101.0,3866,Nvidia,GT 650M,333.0,6.85,13302.0,1.024,128.0,835.0,900.0,32.0,16.0,No,PCIe 3.0 x16,DDR3,GK107
176,AMD,RX 6700,42,99.2,284,Nvidia,Quadro 4000,334.0,6.79,14231.0,2.0,256.0,475.0,702.0,32.0,32.0,No,PCIe 2.0 x16,GDDR5,GF100
177,Nvidia,RTX 2060S (Super),43,99.2,295076,Nvidia,830M,335.0,6.69,1247.0,2.0,64.0,1082.0,900.0,16.0,8.0,No,PCIe 3.0 x8,DDR3,GM108
178,Gigabyte,Gigabyte RTX 2060 Super 8GB Gaming,43,99.2,295076,Nvidia,Quadro FX 3800,337.0,6.55,3682.0,1.024,256.0,600.0,800.0,64.0,16.0,No,PCIe 2.0 x16,GDDR3,GT200B
179,EVGA,EVGA RTX 2060 Super 8GB SC XC Ultra Gaming,43,99.2,295076,ATI,FirePro M7740,338.0,6.53,218.0,1.024,128.0,650.0,846.0,32.0,16.0,No,PCIe 2.0 x16,GDDR5,M97
180,MSI,MSI RTX 2060 Super 8GB Gaming X,43,99.2,295076,Nvidia,GTX 285M,341.0,6.47,127.0,1.024,256.0,600.0,1000.0,64.0,16.0,No,MXM-B (3.0),GDDR3,G92
181,Gigabyte,Gigabyte RTX 2060 Super 8GB Windforce OC,43,99.2,295076,Nvidia,GTX 280M,343.0,6.38,161.0,1.024,256.0,585.0,950.0,64.0,16.0,No,MXM-IV,GDDR3,G92
182,Gigabyte,Gigabyte RTX 2060 Super 8GB Aorus,43,99.2,295076,AMD,FirePro V4900,344.0,6.33,2151.0,1.024,128.0,800.0,1000.0,24.0,8.0,No,PCIe 2.0 x16,GDDR5,Turks
183,EVGA,EVGA RTX 2060 8GB Super SC Black,43,99.2,295076,Nvidia,MX110,346.0,6.3,7212.0,2.0,64.0,978.0,1253.0,24.0,8.0,No,PCIe 3.0 x4,GDDR5,GM108
184,EVGA,EVGA RTX 2060 Super 8GB SC Ultra Gaming,43,99.2,295076,Nvidia,8800 Ultra,348.0,6.23,122.0,0.768,384.0,612.0,1080.0,32.0,24.0,No,PCIe 1.0 x16,GDDR3,G80
185,Zotac,Zotac RTX 2060 Super 8GB Mini Gaming,43,99.2,295076,Nvidia,Quadro 2000,349.0,6.13,15764.0,1.024,128.0,625.0,650.0,32.0,16.0,No,PCIe 2.0 x16,GDDR5,GF106
186,Nvidia,RTX 3060,44,98.3,232735,Nvidia,8800 GT,350.0,6.13,5635.0,0.512,256.0,600.0,900.0,56.0,16.0,No,PCIe 2.0 x16,GDDR3,G92
187,Gigabyte,Gigabyte RTX 3060 12GB Eagle OC,44,98.3,232735,Nvidia,GT 740M,351.0,6.12,16052.0,2.0,64.0,980.0,900.0,32.0,8.0,No,PCIe 3.0 x8,DDR3,GK208
188,Zotac,Zotac RTX 3060 12GB Twin Edge OC,44,98.3,232735,Nvidia,GT 740M,351.0,6.12,16052.0,2.0,128.0,810.0,901.0,32.0,16.0,No,PCIe 3.0 x16,DDR3,GK107
189,Gigabyte,Gigabyte RTX 3060 12GB Gaming OC,44,98.3,232735,Nvidia,920MX,354.0,5.93,8274.0,2.0,64.0,965.0,900.0,24.0,8.0,No,PCIe 3.0 x8,DDR3,GM108
190,EVGA,EVGA RTX 3060 12GB XC Gaming,44,98.3,232735,Nvidia,Quadro K2000M,356.0,5.88,4220.0,2.0,128.0,745.0,900.0,32.0,16.0,No,MXM-A (3.0),DDR3,GK107
191,Asus,Asus RTX 3060 12GB Tuf OC,44,98.3,232735,AMD,Radeon HD 6670,357.0,5.83,33247.0,1.024,128.0,800.0,1000.0,24.0,8.0,No,PCIe 2.0 x16,GDDR5,Turks
192,Nvidia,GTX 1080 (Mobile),45,98.0,14090,Nvidia,GT 545,358.0,5.7,2950.0,1.536,192.0,720.0,800.0,24.0,16.0,No,PCIe 2.0 x16,DDR3,GF116
193,Nvidia,GTX 1070 Ti,46,96.3,361611,Nvidia,8800 GTX,359.0,5.67,1488.0,0.768,384.0,576.0,900.0,32.0,24.0,No,PCIe 1.0 x16,GDDR3,G80
194,Asus,Asus GTX 1070 Ti 8GB STRIX,46,96.3,361611,Nvidia,Quadro K1100M,361.0,5.64,4953.0,2.0,128.0,706.0,700.0,32.0,16.0,No,MXM-A (3.0),GDDR5,GK107
195,MSI,MSI GTX 1070 Ti 8GB Gaming,46,96.3,361611,Nvidia,Quadro 3000M,363.0,5.62,2505.0,2.0,256.0,450.0,625.0,40.0,32.0,No,MXM-B (3.0),GDDR5,GF104
196,EVGA,EVGA GTX 1070 Ti 8GB SC GAMING,46,96.3,361611,Nvidia,Quadro FX 3700M,364.0,5.6,383.0,1.024,256.0,550.0,800.0,64.0,16.0,No,MXM-HE,GDDR3,G92
197,Gigabyte,Gigabyte GTX 1070 Ti 8GB Gaming OC,46,96.3,361611,Nvidia,9800 GT,366.0,5.55,18811.0,0.512,256.0,600.0,900.0,56.0,16.0,No,PCIe 2.0 x16,GDDR3,G92B
198,MSI,MSI GTX 1070 Ti 8GB Aero,46,96.3,361611,Nvidia,9800 GT,366.0,5.55,18811.0,0.512,256.0,600.0,900.0,56.0,16.0,No,PCIe 2.0 x16,GDDR3,G92
199,Asus,Asus GTX 1070 Ti 8GB ROG Strix Gaming,46,96.3,361611,AMD,Radeon HD 6730M,367.0,5.51,118.0,1.024,128.0,725.0,800.0,24.0,8.0,No,MXM-A (3.0),GDDR3,Whistler
200,EVGA,EVGA GTX 1070 Ti 8GB FTW2 GAMING,46,96.3,361611,Nvidia,GT 640M,370.0,5.38,3527.0,2.0,128.0,625.0,900.0,32.0,16.0,No,PCIe 3.0 x16,DDR3,GK107
201,Gigabyte,Gigabyte GTX 1070 Ti 8GB Gaming,46,96.3,361611,AMD,Radeon HD 5670,372.0,5.32,16976.0,1.024,128.0,775.0,1000.0,20.0,8.0,No,PCIe 2.0 x16,GDDR5,Redwood
202,EVGA,EVGA GTX 1070 Ti 8GB FTW ULTRA SILENT GAMING,46,96.3,361611,Nvidia,Quadro 2000M,377.0,5.12,3141.0,2.0,128.0,550.0,900.0,32.0,16.0,No,MXM-A (3.0),DDR3,GF106
203,MSI,MSI GTX 1070 Ti 8GB TITANIUM,46,96.3,361611,AMD,Radeon HD 7570,379.0,5.07,12933.0,1.024,128.0,650.0,800.0,24.0,8.0,No,PCIe 2.0 x16,GDDR3,Turks
204,AMD,RX 5700-XT,47,94.7,87717,Nvidia,Quadro FX 2800M,380.0,5.05,1103.0,1.024,256.0,600.0,1000.0,48.0,16.0,No,MXM-B (3.0),GDDR3,G92
205,AMD,PowerColor RX 5700 XT 8GB,47,94.7,87717,Nvidia,GT 730,382.0,5.03,164775.0,2.0,128.0,700.0,800.0,16.0,4.0,No,PCIe 2.0 x16,DDR3,GF108
206,AMD,Sapphire RX 5700 XT 8GB,47,94.7,87717,Nvidia,GT 730,382.0,5.03,164775.0,1.024,128.0,700.0,900.0,16.0,4.0,No,PCIe 2.0 x16,DDR3,GF108
207,AMD,XFX RX 5700 XT 8GB,47,94.7,87717,Nvidia,GT 730,382.0,5.03,164775.0,1.024,64.0,902.0,1253.0,32.0,8.0,No,PCIe 2.0 x8,GDDR5,GK208B
208,AMD,MSI RX 5700 XT 8GB Gaming,47,94.7,87717,ATI,Radeon HD 3870,383.0,5.01,1729.0,0.512,256.0,777.0,1126.0,16.0,16.0,No,PCIe 2.0 x16,GDDR4,RV670
209,AMD,Asus RX 5700 XT 8GB,47,94.7,87717,Nvidia,Quadro FX 3700,384.0,4.99,1103.0,0.512,256.0,500.0,800.0,56.0,16.0,No,PCIe 2.0 x16,GDDR3,G92
210,AMD,Gigabyte RX 5700 XT 8GB,47,94.7,87717,Nvidia,8800 GS,387.0,4.92,349.0,0.384,192.0,550.0,800.0,48.0,12.0,No,PCIe 1.0 x16,GDDR3,G92
211,Sapphire,Sapphire RX 5700 XT 8GB Pulse,47,94.7,87717,AMD,Radeon HD 6750M,388.0,4.83,510.0,1.024,128.0,600.0,800.0,24.0,8.0,No,MXM-A (3.0),GDDR3,Whistler
212,PowerColor,PowerColor RX 5700 XT 8GB Red Devil,47,94.7,87717,Nvidia,GTX 260M,391.0,4.77,1102.0,1.024,256.0,550.0,950.0,56.0,16.0,No,PCIe 2.0 x16,GDDR3,G92
213,PowerColor,PowerColor RX 5700 XT 8GB Red Dragon,47,94.7,87717,AMD,Radeon HD 6570,393.0,4.72,22263.0,2.0,128.0,650.0,1000.0,24.0,8.0,No,PCIe 2.0 x16,GDDR5,Turks
214,Sapphire,Sapphire RX 5700 XT 8GB Nitro+,47,94.7,87717,AMD,Radeon HD 6570,393.0,4.72,22263.0,1.024,128.0,650.0,500.0,24.0,8.0,No,PCIe 2.0 x16,GDDR3,Thames
215,Sapphire,Sapphire RX 5700 XT 8GB Pulse,47,94.7,87717,Nvidia,GT 445M,398.0,4.57,365.0,3.0,192.0,590.0,800.0,24.0,24.0,No,PCIe 2.0 x16,DDR3,GF106
216,Gigabyte,Gigabyte RX 5700 XT 8GB Gaming OC,47,94.7,87717,Nvidia,GT 445M,398.0,4.57,365.0,1.024,128.0,570.0,625.0,24.0,16.0,No,PCIe 2.0 x16,GDDR5,GF106
217,XFX,XFX RX 5700 XT 8GB Thicc III Ultra,47,94.7,87717,Nvidia,GT 555M,399.0,4.51,4142.0,2.0,128.0,675.0,900.0,24.0,16.0,No,PCIe 2.0 x16,DDR3,GF116
218,XFX,XFX RX 5700 XT 8GB Thicc III,47,94.7,87717,Nvidia,GT 555M,399.0,4.51,4142.0,1.536,192.0,590.0,900.0,24.0,24.0,No,PCIe 2.0 x16,DDR3,GF106
219,Asus,Asus RX 5700 XT 8GB TUF Gaming 3,47,94.7,87717,Nvidia,GT 555M,399.0,4.51,4142.0,1.024,128.0,590.0,900.0,24.0,16.0,No,PCIe 2.0 x16,DDR3,GF106
220,Asus,Asus RX 5700 XT 8GB ROG Strix ,47,94.7,87717,Nvidia,GT 555M,399.0,4.51,4142.0,1.024,128.0,525.0,900.0,24.0,16.0,No,PCIe 2.0 x16,DDR3,GF106
221,Nvidia,Quadro RTX 4000,48,94.7,8852,Nvidia,GT 555M,399.0,4.51,4142.0,1.024,128.0,753.0,784.0,16.0,4.0,No,PCIe 2.0 x16,GDDR5,GF108
222,AMD,RX Vega-64,49,94.6,86469,AMD,Radeon HD 6630M,400.0,4.46,2453.0,1.024,128.0,500.0,800.0,24.0,8.0,No,PCIe 2.0 x16,DDR3,Whistler
223,AMD,Gigabyte RX Vega 64 8GB,49,94.6,86469,Nvidia,GTS 360M,403.0,4.23,1259.0,1.024,128.0,550.0,900.0,32.0,8.0,No,MXM-II,GDDR5,GT215
224,AMD,XFX RX Vega 64 8GB,49,94.6,86469,Nvidia,GT 240,405.0,4.18,10558.0,1.024,128.0,550.0,850.0,32.0,8.0,No,PCIe 2.0 x16,GDDR5,GT215
225,AMD,Sapphire RX Vega 64 8GB,49,94.6,86469,AMD,Radeon HD 5570,407.0,4.12,11383.0,1.024,128.0,650.0,500.0,16.0,4.0,No,PCIe 2.0 x16,GDDR3,Turks
226,Asus,Asus RX Vega 64 8GB ROG Strix Gaming,49,94.6,86469,AMD,Radeon HD 5570,407.0,4.12,11383.0,1.024,128.0,650.0,800.0,20.0,8.0,No,PCIe 2.0 x16,GDDR3,Redwood
227,Gigabyte,Gigabyte RX Vega 64 8GB Gaming OC,49,94.6,86469,AMD,Radeon HD 5570,407.0,4.12,11383.0,1.024,128.0,625.0,800.0,20.0,8.0,No,PCIe 2.0 x16,GDDR5,Pinewood
228,MSI,MSI RX Vega 64 8GB Gaming Air Boost,49,94.6,86469,AMD,Mobility Radeon HD 5730,409.0,4.08,2564.0,1.024,128.0,650.0,800.0,20.0,8.0,No,PCIe 2.0 x16,GDDR3,Madison
229,Nvidia,RTX 2070S (Super Mobile),50,94.4,6765,Nvidia,GT 230,412.0,4.01,1423.0,0.512,256.0,650.0,900.0,24.0,16.0,No,PCIe 2.0 x16,GDDR3,G94B
230,Nvidia,RTX 2080S (Super Mobile Max-Q),51,94.2,3834,AMD,Radeon HD 7670M,413.0,3.99,920.0,1.024,128.0,600.0,900.0,24.0,16.0,No,PCIe 2.0 x16,DDR3,Thames
231,AMD,RX 6600-XT,52,93.7,8025,Nvidia,GT 440,414.0,3.95,13989.0,1.024,128.0,810.0,900.0,16.0,4.0,No,PCIe 2.0 x16,DDR3,GF108
232,ASRock,ASRock RX 6600 XT 8GB Challenger D OC,52,93.7,8025,Nvidia,9600 GT,415.0,3.94,20282.0,0.512,256.0,650.0,900.0,32.0,16.0,No,PCIe 2.0 x16,GDDR3,G94
233,Asus,Asus RX 6600 XT 8GB Dual,52,93.7,8025,Nvidia,Quadro FX 4600,416.0,3.94,1235.0,0.768,384.0,500.0,700.0,24.0,24.0,No,PCIe 1.0 x16,GDDR3,G80
234,XFX,XFX RX 6600 XT 8GB Speedster SWFT 210,52,93.7,8025,Nvidia,820M,417.0,3.89,8870.0,2.0,128.0,810.0,901.0,32.0,16.0,No,PCIe 3.0 x16,DDR3,GK107
235,Gigabyte,Gigabyte RX 6600 XT 8GB Gaming OC Pro,52,93.7,8025,Nvidia,820M,417.0,3.89,8870.0,1.024,64.0,625.0,900.0,16.0,8.0,No,PCIe 2.0 x16,DDR3,GF117
236,MSI,MSI RX 6600 XT 8GB Gaming X,52,93.7,8025,Nvidia,GT 720,418.0,3.82,16117.0,2.0,64.0,967.0,900.0,32.0,8.0,No,PCIe 2.0 x8,DDR3,GK208
237,MSI,MSI RX 6600 XT 8GB Mech 2X OC,52,93.7,8025,Nvidia,GT 720,418.0,3.82,16117.0,1.024,64.0,797.0,800.0,16.0,8.0,No,PCIe 2.0 x8,DDR3,GK208B
238,PowerColor,PowerColor RX 6600 XT 8GB Fighter,52,93.7,8025,Nvidia,GT 630,419.0,3.78,59096.0,1.024,128.0,810.0,900.0,16.0,4.0,No,PCIe 2.0 x16,DDR3,GF108
239,Sapphire,Sapphire RX 6600 XT 8GB Pulse,52,93.7,8025,Nvidia,NVS 5400M,420.0,3.75,1599.0,2.0,128.0,660.0,900.0,16.0,4.0,No,MXM,GDDR3,GF108
240,Nvidia,Quadro P5000,53,92.2,7677,Nvidia,9800M GTS,422.0,3.71,351.0,1.024,256.0,600.0,800.0,32.0,16.0,No,PCIe 2.0 x16,GDDR3,G94
241,AMD,Vega Frontier Edition,54,91.6,1887,Nvidia,9800M GTS,422.0,3.71,351.0,0.512,256.0,600.0,800.0,32.0,16.0,No,PCIe 2.0 x16,GDDR3,G94
242,AMD,Radeon Vega Frontier Edition Air,54,91.6,1887,ATI,Mobility Radeon HD 4670,424.0,3.67,2155.0,0.512,128.0,675.0,800.0,32.0,8.0,No,MXM-A (3.0),GDDR3,M96
243,Nvidia,RTX 2070 (Mobile),55,89.9,22308,Nvidia,GT 720M,426.0,3.66,4571.0,2.0,64.0,719.0,800.0,16.0,8.0,No,PCIe 2.0 x8,DDR3,GK208
244,Nvidia,RTX 2080 (Mobile Max-Q),56,89.5,7485,Nvidia,GT 720M,426.0,3.66,4571.0,2.0,64.0,775.0,800.0,16.0,8.0,No,PCIe 2.0 x16,DDR3,GF117
245,Nvidia,RTX 2060,57,88.6,653453,Nvidia,GT 550M,427.0,3.58,929.0,1.024,128.0,740.0,900.0,16.0,4.0,No,PCIe 2.0 x16,DDR3,GF108
246,MSI,MSI RTX 2060 6GB Ventus,57,88.6,653453,Nvidia,710M,428.0,3.55,2228.0,1.024,64.0,719.0,900.0,16.0,8.0,No,PCIe 3.0 x8,DDR3,GK208
