,Brand,Model,Rank,Benchmark,Samples,Brand,Model,Rank,Benchmark,Samples,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
23,MSI,MSI RTX 3080 10GB Ventus 3X OC,5,206.0,353788,Nvidia,Quadro P5000,53.0,92.2,7677.0,16.0,256.0,1607.0,1127.0,160.0,64.0,No,PCIe 3.0 x16,GDDR5X,GP104
24,Gigabyte,Gigabyte RTX 3080 10GB Gaming OC,5,206.0,353788,Nvidia,RTX 2060,57.0,88.6,653453.0,6.0,192.0,1365.0,1750.0,120.0,48.0,No,PCIe 3.0 x16,GDDR6,TU106
25,Gigabyte,Gigabyte RTX 3080 10GB Vision OC,5,206.0,353788,AMD,RX 5700,59.0,85.0,27019.0,8.0,256.0,1465.0,1750.0,144.0,64.0,No,PCIe 4.0 x16,GDDR6,Navi 10
26,Asus,Asus RTX 3080 10GB Tuf OC,5,206.0,353788,Nvidia,GTX 980 Ti,63.0,79.9,218447.0,6.0,384.0,1000.0,1753.0,176.0,96.0,No,PCIe 3.0 x16,GDDR5,GM200
27,Zotac,Zotac RTX 3080 10GB Trinity OC,5,206.0,353788,Nvidia,GTX 1070,64.0,79.8,1286823.0,8.0,256.0,1506.0,2002.0,120.0,64.0,No,PCIe 3.0 x16,GDDR5,GP104
28,EVGA,EVGA RTX 3080 10GB FTW3 Ultra Gaming,5,206.0,353788,AMD,RX 6700M,65.0,79.5,62.0,10.0,160.0,1489.0,2000.0,144.0,64.0,No,PCIe 4.0 x16,GDDR6,Navi 22
29,Gigabyte,Gigabyte RTX 3080 10GB Aorus Master,5,206.0,353788,Nvidia,GTX 1660 Ti,69.0,76.2,320515.0,6.0,192.0,1500.0,1500.0,96.0,48.0,No,PCIe 3.0 x16,GDDR6,TU116
30,AMD,RX 6950-XT,6,196.0,328,AMD,RX 6600,70.0,76.2,18320.0,8.0,128.0,1626.0,1750.0,112.0,64.0,No,PCIe 4.0 x8,GDDR6,Navi 23
31,Nvidia,Titan RTX,7,189.0,2366,Nvidia,Quadro M6000,72.0,73.3,596.0,12.0,384.0,988.0,1653.0,192.0,96.0,No,PCIe 3.0 x16,GDDR5,GM200
32,Nvidia,NVidia Titan RTX 24GB,7,189.0,2366,AMD,RX 6600M,76.0,70.9,341.0,8.0,128.0,2068.0,1750.0,112.0,64.0,No,PCIe 4.0 x8,GDDR6,Navi 23
33,AMD,RX 6900-XT,8,184.0,10121,Nvidia,GTX 1660,79.0,68.7,220505.0,6.0,192.0,1530.0,2001.0,88.0,48.0,No,PCIe 3.0 x16,GDDR5,TU116
34,Nvidia,Quadro RTX 6000,9,180.0,824,Nvidia,Quadro P4000,80.0,67.0,11776.0,8.0,256.0,1202.0,1901.0,112.0,64.0,No,PCIe 3.0 x16,GDDR5,GP104
35,Nvidia,Quadro RTX 8000,10,179.0,341,Nvidia,GTX 980,85.0,60.6,170996.0,4.0,256.0,1127.0,1753.0,128.0,64.0,No,PCIe 3.0 x16,GDDR5,GM204
36,Nvidia,RTX 2080 Ti,11,172.0,370356,AMD,RX 590,87.0,60.0,119752.0,8.0,256.0,1469.0,2000.0,144.0,32.0,No,PCIe 3.0 x16,GDDR5,Polaris 30
37,Zotac,Zotac RTX 2080 Ti 11GB GAMING AMP SPECTRA RGB,11,172.0,370356,Nvidia,GTX 780 Ti,93.0,55.4,32587.0,3.0,384.0,875.0,1753.0,240.0,48.0,No,PCIe 3.0 x16,GDDR5,GK110B
38,Asus,Asus RTX 2080 Ti 11GB Dual-fan OC,11,172.0,370356,AMD,RX 580,96.0,54.7,853084.0,8.0,256.0,1257.0,2000.0,144.0,32.0,No,PCIe 3.0 x16,GDDR5,Polaris 20
39,MSI,MSI RTX 2080 Ti 11GB Gaming,11,172.0,370356,Nvidia,GTX 970,103.0,50.2,809548.0,4.0,256.0,1050.0,1753.0,104.0,56.0,No,PCIe 3.0 x16,GDDR5,GM204
40,Gigabyte,Gigabyte RTX 2080 Ti 11GB Gaming OC,11,172.0,370356,AMD,RX 480,107.0,48.1,233732.0,8.0,256.0,1120.0,2000.0,144.0,32.0,No,PCIe 3.0 x16,GDDR5,Ellesmere
41,Asus,Asus RTX 2080 Ti 11GB ROG Strix,11,172.0,370356,Nvidia,GTX 780,108.0,47.6,61284.0,3.0,384.0,863.0,1502.0,192.0,48.0,No,PCIe 3.0 x16,GDDR5,GK110
42,EVGA,EVGA RTX 2080 Ti 11GB FTW3 Ultra Gaming,11,172.0,370356,AMD,RX 570,113.0,46.4,415950.0,4.0,256.0,1168.0,1750.0,128.0,32.0,No,PCIe 3.0 x16,GDDR5,Polaris 20
43,EVGA,EVGA RTX 2080 Ti 11GB Black,11,172.0,370356,Nvidia,Quadro K6000,114.0,45.5,1124.0,12.0,384.0,797.0,1502.0,240.0,48.0,No,PCIe 3.0 x16,GDDR5,GK110B
44,Gigabyte,Gigabyte RTX 2080 Ti 11GB Xtreme,11,172.0,370356,Nvidia,GTX 1650,116.0,42.9,232326.0,4.0,128.0,1485.0,2001.0,56.0,32.0,No,PCIe 3.0 x16,GDDR5,TU117
45,Nvidia,RTX 3070 Ti,12,168.0,120757,AMD,Radeon Pro 5500M,117.0,42.6,1978.0,8.0,128.0,1000.0,1500.0,96.0,32.0,No,PCIe 4.0 x8,GDDR6,Navi 14
46,Asus,Asus RTX 3070 Ti 8GB Tuf OC,12,168.0,120757,Nvidia,GTX 980M,120.0,40.9,11961.0,8.0,256.0,1038.0,1253.0,96.0,64.0,No,MXM-B (3.0),GDDR5,GM204
