Brand,Model,Rank,Benchmark,Samples
Gigabyte,Gigabyte GTX 1080 Ti 11GB AORUS Xtreme,20,136,782243
Nvidia,Quadro P6000,21,133,765
Nvidia,Titan X Pascal,22,133,8409
Nvidia,NVidia Titan X Pascal 12GB,22,133,8409
Nvidia,RTX 3060 Ti,23,133,238653
Gigabyte,Gigabyte RTX 3060 Ti 8GB Gaming OC,23,133,238653
MSI,MSI RTX 3060 Ti 8GB Ventus 3X OC,23,133,238653
MSI,MSI RTX 3060 Ti 8GB Ventus 2X,23,133,238653
Gigabyte,Gigabyte RTX 3060 Ti 8GB Eagle OC,23,133,238653
Gigabyte,Gigabyte RTX 3060 Ti 8GB Gaming OC Pro,23,133,238653
MSI,MSI RTX 3060 Ti 8GB Gaming X Trio,23,133,238653
Zotac,Zotac RTX 3060 Ti 8GB Twin Edge OC,23,133,238653
Nvidia,RTX 2080,24,129,311089
MSI,MSI RTX 2080 8GB Gaming X Trio,24,129,311089
Gigabyte,Gigabyte RTX 2080 8GB Windforce OC,24,129,311089
Asus,Asus RTX 2080 8GB Dual OC,24,129,311089
Gigabyte,Gigabyte RTX 2080 8GB Gaming OC,24,129,311089
EVGA,EVGA RTX 2080 8GB XC Ultra Gaming,24,129,311089
Asus,Asus RTX 2080 8GB ROG STRIX,24,129,311089
EVGA,EVGA RTX 2080 8GB XC Gaming,24,129,311089
Nvidia,RTX 3080 (Laptop),25,128,12700
AMD,RX 6800,26,125,3524
Asus,Asus RX 6800 16GB TUF OC,26,125,3524
AMD,RX 6750-XT,27,125,660
Nvidia,RTX 3070 Ti (Laptop),28,123,2131
Nvidia,RTX 2070S (Super),29,118,569107
EVGA,EVGA RTX 2070 Super 8GB SC XC Ultra Gaming,29,118,569107
Gigabyte,Gigabyte RTX 2070 Super 8GB Gaming,29,118,569107
MSI,MSI RTX 2070 Super 8GB Ventus,29,118,569107
Gigabyte,Gigabyte RTX 2070 Super 8GB 3X Windforce,29,118,569107
Gigabyte,Gigabyte RTX 2070 Super 8GB 3X Gaming,29,118,569107
MSI,MSI RTX 2070 Super 8GB Gaming X,29,118,569107
EVGA,EVGA RTX 2070 Super 8GB Super Black Gaming,29,118,569107
Asus,Asus RTX 2070 Super 8GB Dual Evo,29,118,569107
Zotac,Zotac RTX 2070 Super 8GB Mini,29,118,569107
EVGA,EVGA RTX 2070 Super 8GB KO Gaming,29,118,569107
Nvidia,RTX 2080S (Super Mobile),30,117,2346
Nvidia,RTX 2080 (Mobile),31,114,4279
AMD,RX 6700-XT,32,112,17930
Nvidia,RTX 3070 (Laptop),33,112,35282
AMD,Radeon-VII,34,110,13647
AMD,Sapphire Radeon VII 16GB,34,110,13647
AMD,Asus Radeon VII 16GB,34,110,13647
AMD,RX 6800M,35,108,750
Nvidia,Quadro GP100,36,108,127
Nvidia,GTX 1080,37,106,1087024
EVGA,EVGA GTX 1080 8GB Founders Edition,37,106,1087024
Asus,ASUS GTX 1080 8GB Founders Edition,37,106,1087024
Nvidia,MSI GTX 1080 8GB Founders Edition,37,106,1087024
Nvidia,Zotac GTX 1080 8GB Founders Edition,37,106,1087024
Nvidia,Gigabyte GTX 1080 8GB Founders Edition,37,106,1087024
EVGA,EVGA GTX 1080 8GB SC GAMING ACX 3.0,37,106,1087024
MSI,MSI GTX 1080 8GB GAMING X,37,106,1087024
Gigabyte,Gigabyte GTX 1080 8GB G1 Gaming,37,106,1087024
EVGA,EVGA GTX 1080 8GB FTW ACX 3.0,37,106,1087024
Asus,Asus GTX 1080 8GB ROG STRIX,37,106,1087024
Asus,Asus GTX 1080 8GB ROG STRIX,37,106,1087024
Zotac,Zotac GTX 1080 8GB AMP,37,106,1087024
Zotac,Zotac GTX 1080 8GB AMP Extreme,37,106,1087024
Gigabyte,Gigabyte GTX 1080 8GB Xtreme,37,106,1087024
Gigabyte,Gigabyte GTX 1080 8GB Xtreme Pack,37,106,1087024
Gigabyte,Gigabyte GTX 1080 8GB Xtreme Water,37,106,1087024
EVGA,EVGA GTX 1080 8GB FTW2,37,106,1087024
Gigabyte,Gigabyte GTX 1080 8GB Turbo,37,106,1087024
Gigabyte,Gigabyte GTX 1080 8GB Windforce,37,106,1087024
Nvidia,RTX 2070,38,106,460951
Gigabyte,Gigabyte RTX 2070 8GB Gaming OC,38,106,460951
EVGA,EVGA RTX 2070 8GB XC Gaming Dual HDB,38,106,460951
MSI,MSI RTX 2070 8GB Gaming Z,38,106,460951
EVGA,EVGA RTX 2070 8GB XC Ultra Gaming,38,106,460951
Asus,Asus RTX 2070 8GB ROG STRIX,38,106,460951
MSI,MSI RTX 2070 8GB Armor OC,38,106,460951
Gigabyte,Gigabyte RTX 2070 8GB Windforce,38,106,460951
EVGA,EVGA RTX 2070 8GB Black Gaming,38,106,460951
Zotac,Zotac RTX 2070 8GB Mini,38,106,460951
Asus,Asus RTX 2070 8GB Dual,38,106,460951
MSI,MSI RTX 2070 8GB Tri Frozr,38,106,460951
AMD,RX 5700XT 50th Anniversary,39,104,4183
AMD,RX 6650-XT,40,101,771
AMD,RX Vega-64LC (Liquid Cooled),41,101,3866
