Brand,Model,Rank,Benchmark,Samples,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
Nvidia,GT 745M,315,7.57,1220,2,128,837,900,32,16,No,PCIe 3.0 x16,DDR3,GK107
Nvidia,GT 745M,315,7.57,1220,2,128,549,1000,32,16,No,PCIe 3.0 x16,GDDR5,GK107
Nvidia,GTX 560M,316,7.54,6242,1.536,192,775,625,32,24,No,MXM-B (3.0),GDDR5,GF116
Nvidia,GTX 260,317,7.52,12176,0.896,448,576,999,64,28,No,PCIe 2.0 x16,GDDR3,GT200
Nvidia,Quadro K2100M,318,7.44,6446,2,128,667,752,48,16,No,MXM-A (3.0),GDDR5,GK106
Nvidia,GTX 460M,321,7.23,3999,1.536,192,675,625,32,24,No,PCIe 2.0 x16,GDDR5,GF106
Nvidia,GTS 250,323,7.12,14498,1.024,256,702,1000,64,16,No,PCIe 2.0 x16,GDDR3,G92B
Nvidia,GTS 250,323,7.12,14498,1.024,256,675,1008,64,16,No,PCIe 2.0 x16,GDDR3,G92B
ATI,Radeon HD 4770,324,7.12,1513,0.512,128,750,800,32,16,No,PCIe 2.0 x16,GDDR5,RV740
AMD,FirePro M4000,328,6.99,1459,1.024,128,675,1000,32,16,No,MXM-A (3.0),GDDR5,Chelsea
Nvidia,GT 640,329,6.99,34672,2,128,902,891,32,16,No,PCIe 3.0 x16,DDR3,GK107
AMD,Mobility Radeon HD 5850,331,6.93,1222,1.024,128,500,1000,40,16,No,PCIe 2.0 x16,GDDR5,Broadway
Nvidia,Quadro FX 3800M,332,6.9,383,1.024,256,675,1000,64,16,No,MXM-B (3.0),GDDR3,G92
Nvidia,GT 650M,333,6.85,13302,1.024,128,835,900,32,16,No,PCIe 3.0 x16,DDR3,GK107
Nvidia,Quadro 4000,334,6.79,14231,2,256,475,702,32,32,No,PCIe 2.0 x16,GDDR5,GF100
Nvidia,830M,335,6.69,1247,2,64,1082,900,16,8,No,PCIe 3.0 x8,DDR3,GM108
Nvidia,Quadro FX 3800,337,6.55,3682,1.024,256,600,800,64,16,No,PCIe 2.0 x16,GDDR3,GT200B
ATI,FirePro M7740,338,6.53,218,1.024,128,650,846,32,16,No,PCIe 2.0 x16,GDDR5,M97
Nvidia,GTX 285M,341,6.47,127,1.024,256,600,1000,64,16,No,MXM-B (3.0),GDDR3,G92
Nvidia,GTX 280M,343,6.38,161,1.024,256,585,950,64,16,No,MXM-IV,GDDR3,G92
AMD,FirePro V4900,344,6.33,2151,1.024,128,800,1000,24,8,No,PCIe 2.0 x16,GDDR5,Turks
Nvidia,MX110,346,6.3,7212,2,64,978,1253,24,8,No,PCIe 3.0 x4,GDDR5,GM108
Nvidia,8800 Ultra,348,6.23,122,0.768,384,612,1080,32,24,No,PCIe 1.0 x16,GDDR3,G80
Nvidia,Quadro 2000,349,6.13,15764,1.024,128,625,650,32,16,No,PCIe 2.0 x16,GDDR5,GF106
Nvidia,8800 GT,350,6.13,5635,0.512,256,600,900,56,16,No,PCIe 2.0 x16,GDDR3,G92
Nvidia,GT 740M,351,6.12,16052,2,64,980,900,32,8,No,PCIe 3.0 x8,DDR3,GK208
Nvidia,GT 740M,351,6.12,16052,2,128,810,901,32,16,No,PCIe 3.0 x16,DDR3,GK107
Nvidia,920MX,354,5.93,8274,2,64,965,900,24,8,No,PCIe 3.0 x8,DDR3,GM108
Nvidia,Quadro K2000M,356,5.88,4220,2,128,745,900,32,16,No,MXM-A (3.0),DDR3,GK107
AMD,Radeon HD 6670,357,5.83,33247,1.024,128,800,1000,24,8,No,PCIe 2.0 x16,GDDR5,Turks
Nvidia,GT 545,358,5.7,2950,1.536,192,720,800,24,16,No,PCIe 2.0 x16,DDR3,GF116
Nvidia,8800 GTX,359,5.67,1488,0.768,384,576,900,32,24,No,PCIe 1.0 x16,GDDR3,G80
Nvidia,Quadro K1100M,361,5.64,4953,2,128,706,700,32,16,No,MXM-A (3.0),GDDR5,GK107
Nvidia,Quadro 3000M,363,5.62,2505,2,256,450,625,40,32,No,MXM-B (3.0),GDDR5,GF104
Nvidia,Quadro FX 3700M,364,5.6,383,1.024,256,550,800,64,16,No,MXM-HE,GDDR3,G92
Nvidia,9800 GT,366,5.55,18811,0.512,256,600,900,56,16,No,PCIe 2.0 x16,GDDR3,G92B
Nvidia,9800 GT,366,5.55,18811,0.512,256,600,900,56,16,No,PCIe 2.0 x16,GDDR3,G92
AMD,Radeon HD 6730M,367,5.51,118,1.024,128,725,800,24,8,No,MXM-A (3.0),GDDR3,Whistler
Nvidia,GT 640M,370,5.38,3527,2,128,625,900,32,16,No,PCIe 3.0 x16,DDR3,GK107
AMD,Radeon HD 5670,372,5.32,16976,1.024,128,775,1000,20,8,No,PCIe 2.0 x16,GDDR5,Redwood
Nvidia,Quadro 2000M,377,5.12,3141,2,128,550,900,32,16,No,MXM-A (3.0),DDR3,GF106
AMD,Radeon HD 7570,379,5.07,12933,1.024,128,650,800,24,8,No,PCIe 2.0 x16,GDDR3,Turks
Nvidia,Quadro FX 2800M,380,5.05,1103,1.024,256,600,1000,48,16,No,MXM-B (3.0),GDDR3,G92
Nvidia,GT 730,382,5.03,164775,2,128,700,800,16,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,GT 730,382,5.03,164775,1.024,128,700,900,16,4,No,PCIe 2.0 x16,DDR3,GF108
Nvidia,GT 730,382,5.03,164775,1.024,64,902,1253,32,8,No,PCIe 2.0 x8,GDDR5,GK208B
ATI,Radeon HD 3870,383,5.01,1729,0.512,256,777,1126,16,16,No,PCIe 2.0 x16,GDDR4,RV670
Nvidia,Quadro FX 3700,384,4.99,1103,0.512,256,500,800,56,16,No,PCIe 2.0 x16,GDDR3,G92
Nvidia,8800 GS,387,4.92,349,0.384,192,550,800,48,12,No,PCIe 1.0 x16,GDDR3,G92
AMD,Radeon HD 6750M,388,4.83,510,1.024,128,600,800,24,8,No,MXM-A (3.0),GDDR3,Whistler
Nvidia,GTX 260M,391,4.77,1102,1.024,256,550,950,56,16,No,PCIe 2.0 x16,GDDR3,G92
AMD,Radeon HD 6570,393,4.72,22263,2,128,650,1000,24,8,No,PCIe 2.0 x16,GDDR5,Turks
AMD,Radeon HD 6570,393,4.72,22263,1.024,128,650,500,24,8,No,PCIe 2.0 x16,GDDR3,Thames
Nvidia,GT 445M,398,4.57,365,3,192,590,800,24,24,No,PCIe 2.0 x16,DDR3,GF106
Nvidia,GT 445M,398,4.57,365,1.024,128,570,625,24,16,No,PCIe 2.0 x16,GDDR5,GF106
Nvidia,GT 555M,399,4.51,4142,2,128,675,900,24,16,No,PCIe 2.0 x16,DDR3,GF116
Nvidia,GT 555M,399,4.51,4142,1.536,192,590,900,24,24,No,PCIe 2.0 x16,DDR3,GF106
Nvidia,GT 555M,399,4.51,4142,1.024,128,590,900,24,16,No,PCIe 2.0 x16,DDR3,GF106
Nvidia,GT 555M,399,4.51,4142,1.024,128,525,900,24,16,No,PCIe 2.0 x16,DDR3,GF106
Nvidia,GT 555M,399,4.51,4142,1.024,128,753,784,16,4,No,PCIe 2.0 x16,GDDR5,GF108
AMD,Radeon HD 6630M,400,4.46,2453,1.024,128,500,800,24,8,No,PCIe 2.0 x16,DDR3,Whistler
Nvidia,GTS 360M,403,4.23,1259,1.024,128,550,900,32,8,No,MXM-II,GDDR5,GT215
Nvidia,GT 240,405,4.18,10558,1.024,128,550,850,32,8,No,PCIe 2.0 x16,GDDR5,GT215
AMD,Radeon HD 5570,407,4.12,11383,1.024,128,650,500,16,4,No,PCIe 2.0 x16,GDDR3,Turks
AMD,Radeon HD 5570,407,4.12,11383,1.024,128,650,800,20,8,No,PCIe 2.0 x16,GDDR3,Redwood
AMD,Radeon HD 5570,407,4.12,11383,1.024,128,625,800,20,8,No,PCIe 2.0 x16,GDDR5,Pinewood
AMD,Mobility Radeon HD 5730,409,4.08,2564,1.024,128,650,800,20,8,No,PCIe 2.0 x16,GDDR3,Madison
Nvidia,GT 230,412,4.01,1423,0.512,256,650,900,24,16,No,PCIe 2.0 x16,GDDR3,G94B
AMD,Radeon HD 7670M,413,3.99,920,1.024,128,600,900,24,16,No,PCIe 2.0 x16,DDR3,Thames
