Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,Nvidia,RTX 3080,5,206,353788,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,RTX 3080 Ventus 3X Plus 10G OC LHR,MSI,MSI RTX 3080 10GB Ventus 3X OC,5,206,353788,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,GV-N3080GAMING OC-10GD-V2,Gigabyte,Gigabyte RTX 3080 10GB Gaming OC,5,206,353788,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,‎GV-N3080VISION OC-10GD 2.0,Gigabyte,Gigabyte RTX 3080 10GB Vision OC,5,206,353788,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,‎TUF-RTX3080-O10G-V2-GAMING,Asus,Asus RTX 3080 10GB Tuf OC,5,206,353788,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,‎ZT-A30800J-10PLHR,Zotac,Zotac RTX 3080 10GB Trinity OC,5,206,353788,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,‎10G-P5-3897-KR,EVGA,EVGA RTX 3080 10GB FTW3 Ultra Gaming,5,206,353788,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,GV-N3080AORUS X-10GD REV2.0,Gigabyte,Gigabyte RTX 3080 10GB Aorus Master,5,206,353788,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080
GPU,,AMD,RX 6950-XT,6,196,328,https://gpu.userbenchmark.com/SpeedTest/1843533/AMD-Radeon-RX-6950-XT
GPU,,Nvidia,Titan RTX,7,189,2366,https://gpu.userbenchmark.com/SpeedTest/664199/NVIDIA-TITAN-RTX
GPU,900-1G150-2500-000,Nvidia,NVidia Titan RTX 24GB,7,189,2366,https://gpu.userbenchmark.com/SpeedTest/664199/NVIDIA-TITAN-RTX
GPU,,AMD,RX 6900-XT,8,184,10121,https://gpu.userbenchmark.com/AMD-RX-6900-XT/Rating/4091
GPU,,Nvidia,Quadro RTX 6000,9,180,824,https://gpu.userbenchmark.com/SpeedTest/736712/NVIDIA-Quadro-RTX-6000
GPU,,Nvidia,Quadro RTX 8000,10,179,341,https://gpu.userbenchmark.com/SpeedTest/762332/NVIDIA-Quadro-RTX-8000
GPU,,Nvidia,RTX 2080-Ti,11,172,370356,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,ZT-T20810D-10P,Zotac,Zotac RTX 2080 Ti 11GB GAMING AMP SPECTRA RGB,11,172,370356,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
GPU,DUAL-RTX2080TI-O11G,Asus,Asus RTX 2080 Ti 11GB Dual-fan OC,11,172,370356,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027
